YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,BestPlayers,NumOwned,NumWish,NumWeightVotes,MfgPlaytime,MfgAgeRec,NumAlternates,NumExpansions,NumImplementations,IsReimplementation,Kickstarted,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,log_NumOwned,log_NumWish,log_MfgPlaytime
2012,3.75,2,2,14.0,138.0,0,261,19,4,120,12,0,0,1,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,5.568344503761097,2.995732273553991,4.795790545596741
2019,2.0,2,5,9.0,138.0,0,62,12,3,45,8,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.143134726391533,2.5649493574615367,3.828641396489095
2012,3.7344,2,5,13.0625,2.7804878048780486,4,10195,3778,497,240,14,1,2,0,0,0,284,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,9.229750765496005,8.237214703349489,5.484796933490655
1960,1.0,2,4,10.0,529.0,0,142,10,5,20,6,5,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,503,0,0,0,0,0,0,0,1,Low,4.962844630259907,2.3978952727983707,3.044522437723423
2017,3.1111,2,2,10.0,138.0,0,203,91,9,180,12,0,0,0,0,0,21926,21926,21926,21926,21926,1213,21926,21926,0,0,1,0,0,0,0,0,High,5.318119993844216,4.5217885770490405,5.198497031265826
1810,3.0561,3,3,9.666666666666666,6.0,3,1482,98,107,30,10,46,0,0,0,0,974,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,Medium,7.301822342137932,4.59511985013459,3.4339872044851463
2000,2.3333,2,2,12.0,17.0,0,197,1,6,120,12,0,0,0,0,0,21926,21926,21926,21926,21926,2994,21926,21926,0,0,1,0,0,0,0,0,Medium,5.288267030694535,0.6931471805599453,4.795790545596741
2019,1.4545,2,4,9.5,72.0,0,183,37,11,90,10,0,0,1,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,5.214935757608986,3.6375861597263857,4.51085950651685
2013,1.25,4,9,10.0,565.0,0,49,7,4,20,12,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,3.912023005428146,2.0794415416798357,3.044522437723423
2017,2.0,1,6,10.0,138.0,0,189,47,5,60,14,0,0,1,1,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.247024072160486,3.871201010907891,4.110873864173311
1996,3.1957,1,2,16.0,682.0,0,1077,77,46,180,12,0,2,0,0,0,21926,21926,21926,21926,21926,341,21926,21926,0,0,1,0,0,0,0,0,High,6.982862751468942,4.356708826689592,5.198497031265826
2008,1.2222,2,4,8.0,8.0,0,245,16,9,30,8,0,1,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.5053315359323625,2.833213344056216,3.4339872044851463
2019,2.25,1,4,10.25,367.8,3,3208,284,52,60,10,0,0,0,0,1,902,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,8.073714641109857,5.652489180268651,4.110873864173311
2008,2.1212,3,7,10.0,6.285714285714286,0,909,149,33,45,14,1,0,0,0,0,21926,21926,1720,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,Low,6.813444599510896,5.0106352940962555,3.828641396489095
2015,2.0,1,2,10.0,588.6666666666666,0,317,131,7,90,12,0,1,0,0,0,21926,21926,21926,21926,21926,1404,21926,21926,0,0,1,0,0,0,0,0,High,5.762051382780177,4.882801922586371,4.51085950651685
2019,1.9375,1,4,8.0,21.0,0,629,98,16,60,10,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,6.4457198193855785,4.59511985013459,4.110873864173311
2021,0.0,2,8,10.0,138.0,0,671,78,0,30,6,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,6.51025834052315,4.3694478524670215,3.4339872044851463
2018,1.0,2,4,10.0,138.0,0,100,23,3,40,8,0,1,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,4.61512051684126,3.1780538303479458,3.713572066704308
2012,3.0,3,5,13.0,338.5,0,620,119,16,120,14,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.431331081933479,4.787491742782046,4.795790545596741
1800,1.5263,2,6,8.0,1.0,0,160,24,19,15,0,8,0,0,0,0,21926,21926,21926,21926,21926,21926,398,21926,0,0,0,0,0,0,1,0,Medium,5.081404364984463,3.2188758248682006,2.772588722239781
2006,2.1273,2,6,9.0,91.0,0,772,56,55,90,10,2,0,0,0,0,21926,21926,21926,1139,21926,21926,21926,21926,1,0,0,0,0,0,0,0,Low,6.650279048587422,4.04305126783455,4.51085950651685
2017,1.3043,2,8,12.625,219.25,0,1632,155,23,120,10,3,3,3,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,7.398174092970465,5.049856007249537,4.795790545596741
